REF_AREA,Reference area,MEASURE,Measure2,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,TIMELINESS,Timeliness3,OBS_VALUE
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",6698
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2021,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",6683.8
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.34
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.72
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.93
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.65
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.49
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.88
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.94
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.98
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.97
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.43
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.03
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.9
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,3.66
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.08
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,2.99
BRN,Brunei Darussalam,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2021,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,2.97
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",71738.39
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",73712.91
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",72590.69
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",69878.69
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",67368.97
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",67819.79
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",69116.7
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",68686.85
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",66303.56
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",63779.84
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",62707.88
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",60388.48
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",60454.42
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",59790.01
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",61420.12
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",61460.53
BRN,Brunei Darussalam,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2021,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",59904.82
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",10291.43
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",10609.82
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11401.1
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11857.24
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11488.54
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11630.64
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11980.14
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",12683.8
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",13724.88
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",13764.59
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",14483.13
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",14694.94
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",14663.19
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",13876.04
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",13811.42
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",14078.41
IDN,Indonesia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2021,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",14240.26
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.77
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.71
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.78
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.14
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.16
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.12
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,4.73
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.64
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.53
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.72
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,6.12
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,6.1
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.72
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.6
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.88
IDN,Indonesia,CO2_PBPROD,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",USD_CO2,US dollars per unit of CO2,_T,Total - all activities,2021,,A,Normal value,0,Units,Q,Constant prices,2015,2,2 years lag,5.84
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",6691.85
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",6966.72
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7311.32
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7649.11
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7903
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8295.31
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8689.2
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",9089.46
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",9466.81
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",9811.31
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",10271.23
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",10666.8
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11084.98
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11534.71
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11988.84
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11624
IDN,Indonesia,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2021,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11937.3
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",6880.96
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7423.98
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7832.85
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8281.74
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7764.41
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7804.82
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8184.9
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8420.57
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8806.92
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8724.48
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8717.49
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8452.37
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8787.54
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8861.9
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8441.13
KHM,Cambodia,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2020,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7642.65
